Channel Link,Channel Name,Channel Icon,Affinity Index,Power of Influence,Views,Users,Age,Gender
https://www.youtube.com/channel/UCKPYSLKTocfLMNWWS5TYPaA,صدقه جاريه للمشتركين فى القناه,https://yt3.ggpht.com/ytc/AKedOLSvktLDU_lEnEubJXwdNKgOGooqaZ9jyQyrJgjx=s88-c-k-c0x00ffffff-no-rj,63,3,17000,10000,"25-34 : 50.0%
18-24 : 50.0%",Male : 100.0%
https://www.youtube.com/channel/UCMtSyk6KdVSyPMoFdaaPm_w,Mohamed ELAssal - محمد العسال,https://yt3.ggpht.com/fZQ4IEA37tJUNmK9Ix7xaDV19CxEixrkrkOGqWGa9gkMo4sltNeQP4HZQijx_ZwZASa8FGmVny4=s88-c-k-c0x00ffffff-no-rj,63,3,17000,8000,"25-34 : 35.7%
18-24 : 28.6%
35-44 : 35.7%",Male : 100.0%
https://www.youtube.com/channel/UCNhp1ObbjT2sttBpho8YD0Q,A7mdBawazir,https://yt3.ggpht.com/ytc/AKedOLSBAD9Q-zeBaCY6p0vS-E1JE37vA0ZpWMObw30u=s88-c-k-c0x00ffffff-no-rj,100,3,5000,3000,,
https://www.youtube.com/channel/UCSJzzGZDKcVvSe2iw1ILQmQ,البورصه لايف Borsa Live,https://yt3.ggpht.com/ieRRUeuSWutieFLbGWcu0sU2FxbysZzfCMYvSKsianLtxQZ5-BIsvD7WWtlx2KajuFkJxonaAQ=s88-c-k-c0x00ffffff-no-rj,100,3,100000,3000,"25-34 : 5.0%
18-24 : 6.7%
Unknown : 11.7%
55-64 : 40.0%
35-44 : 18.3%
65+ : 6.7%
45-54 : 11.7%","Unknown : 11.7%
Male : 88.3%"
https://www.youtube.com/channel/UCWggYS7Bd_LW4TKkaaPjPFQ,الزراعة في مصر واسعار الخضار,https://yt3.ggpht.com/AfXZWB7dsubBXVHhgPxKjkk5nmGfuFKnZ0Ioy5d3CpvpnDiQ4ol0r7aPprJ5_raWFUrITOXVEg=s88-c-k-c0x00ffffff-no-rj,79,3,11000,6000,,
https://www.youtube.com/channel/UCbSS-Q9fE-3hBja2xrvkSTQ,فيلو للمعلوميات,https://yt3.ggpht.com/6Ch2qtIouTduXSurqkzXmYVW3KlvMX5e8Qn7zizvOquGnh--ifcg2ltqWGS3_dEQweaFx2G3=s88-c-k-c0x00ffffff-no-rj,74,3,20000,7000,"25-34 : 33.3%
18-24 : 50.0%
35-44 : 16.7%",Male : 100.0%
https://www.youtube.com/channel/UCnTsOPOzjTX9XShMXqVWSOg,اخبار البنوك - Banking news,https://yt3.ggpht.com/ytc/AKedOLQZpU7G0Bj-k8tlury6KIlUF3AcAZrCJ1UFpJF9=s88-c-k-c0x00ffffff-no-rj,88,3,7000,4000,,
https://www.youtube.com/channel/UCyxmAlOE6PUU8JL8X09QJ4g,اخبار السوق المصري,https://yt3.ggpht.com/-hgtEvZ08_yohKEg2mhyT18fSzLHhTjGthqizL8_hDXlOFYOPvzIv3fP_NGfaQ-5aYu0KghVDQ=s88-c-k-c0x00ffffff-no-rj,100,3,7000,3000,,
https://www.youtube.com/channel/UC26Us3XJVjrDKcIC-j4KkNg,أخبار اليوم 365,https://yt3.ggpht.com/Im5ppQOSPZ1WgTFQg0xDLP-f9QCWq_F3kG_RMju26a1Go2QpA7dulBcOBi8Qwz5_3jIdp3gpXw=s88-c-k-c0x00ffffff-no-rj,64,2,7000,5000,,
https://www.youtube.com/channel/UC6JPzT0O-miO8anNi7EksAg,الربح للمبتدئين AHMED ABDO,https://yt3.ggpht.com/shm7xOCJPJ28-zW3_CW0D82X4FUUwN7qr_aF4ixtFgkim8O19lcVwZm6kQEWeCW9inD9pLS_=s88-c-k-c0x00ffffff-no-rj,100,2,4000,2000,,
https://www.youtube.com/channel/UC6bxy7RUpjtPuCuq-O3QdOw,تقني في ربح وإستثمار البتكوين,https://yt3.ggpht.com/ytc/AKedOLRELRMjPeV2geh3aeMHKi2rDamPr2X44p7cwDqq=s88-c-k-c0x00ffffff-no-rj,100,2,3000,2000,,
https://www.youtube.com/channel/UCBI-Ip3l09TXV0RAqfbZVtA,بنوك مصر,https://yt3.ggpht.com/SiyPnOwt-ivZeWvXXknOgx8XI-GZMOTx4o1NC5ADnxj8fptBK1cLfoLHiGruPiv7UAEiKe_axw=s88-c-k-c0x00ffffff-no-rj,88,2,7000,3000,,
https://www.youtube.com/channel/UCBeSfYwv0ZUv8jinR6wi4PA,اسعار الذهب و المعادن,https://yt3.ggpht.com/3_cq6I79NTbm4MbwJbb6V7Xym3LXv_4dE5wqzpYeEX9NvD_PKW82Ibqv2FtM6lMEAjifySJe=s88-c-k-c0x00ffffff-no-rj,60,2,9000,6000,25-34 : 100.0%,Male : 100.0%
https://www.youtube.com/channel/UCBmOEbcilGQsXd0c3fXx5dg,JSMY ZONE,https://yt3.ggpht.com/ytc/AKedOLR1Ury7doi_oiNVQivVNdPi7f2CtLy-5CLyOKOd6w=s88-c-k-c0x00ffffff-no-rj,88,2,7000,3000,,
https://www.youtube.com/channel/UCD2AlXfhCJvsVblkY-qaTTw,Ramez wagdy - رامز وجدي,https://yt3.ggpht.com/ytc/AKedOLQXM5L0L2u5wn01wPKCcOPW9eBmoBd4oEDXsnhkug=s88-c-k-c0x00ffffff-no-rj,45,2,25000,11000,"25-34 : 15.6%
18-24 : 62.2%
Unknown : 11.1%
35-44 : 11.1%","Female : 13.3%
Male : 86.7%"
https://www.youtube.com/channel/UCGQ9XjKXm0gEdROJ77njLDg,حكاية الكنز,https://yt3.ggpht.com/MFHSbO8hNHyMvv97V3XZNmz6uU21aIIbWN2kTA2T4am4eiVfP24zJck9s1j3RwgsM0olSKF58g=s88-c-k-c0x00ffffff-no-rj,100,2,5000,2000,,
https://www.youtube.com/channel/UCIK103_wR0f1lIQ94HITpvg,حول العالم مع عماد,https://yt3.ggpht.com/ytc/AKedOLT7nOiluUrdE1lPx1oC8ixfB5FhbiRAImVCGEVe=s88-c-k-c0x00ffffff-no-rj,83,2,5000,4000,,
