Channel Link,Channel Name,Channel Icon,Affinity Index,Power of Influence,Views,Users,Age,Gender
https://www.youtube.com/channel/UC0P_xf9xQQGHi35AxbehIHw,المدينة الجديدة,https://yt3.ggpht.com/ytc/AKedOLSc3A7RzHf3yp9H2hRNVRBQRzdam1kdrOXugxUlpg=s88-c-k-c0x00ffffff-no-rj,4,0,250,250,,
https://www.youtube.com/channel/UC0QHWhjbe5fGJEPz3sVb6nw,Doctor Mike,https://yt3.ggpht.com/ytc/AKedOLTGMbqmRXYj-UFKQgCUozjv4VLCdxL2hNCMy4p_eA=s88-c-k-c0x00ffffff-no-rj,0,0,250,250,"25-34 : 15.0%
18-24 : 77.5%
35-44 : 7.5%","Female : 40.0%
Male : 60.0%"
https://www.youtube.com/channel/UC0QpXwNHik1793EYNGZcOoA,Jamal alimwase ـ جمال العمواسي,https://yt3.ggpht.com/1pxSL-4tMOV83HC1MrGsMHPumBynsardX8SnUQfLEMn9s6LwjwYWjTN-j-DVuhGrypYn76TJ=s88-c-k-c0x00ffffff-no-rj,0,0,400,400,"25-34 : 30.0%
18-24 : 35.7%
Unknown : 7.1%
35-44 : 22.9%
45-54 : 4.3%","Female : 12.9%
Male : 87.1%"
https://www.youtube.com/channel/UC0VNRvMijMy6DtM9UgX46Og,SocksReact,https://yt3.ggpht.com/ytc/AKedOLStyUx37hTJt_mm9-g91YTvYlKw2Uhxl1TyjV72=s88-c-k-c0x00ffffff-no-rj,0,0,150,150,"25-34 : 9.0%
18-24 : 53.8%
Unknown : 6.4%
35-44 : 25.6%
45-54 : 5.1%","Female : 5.1%
Male : 94.9%"
https://www.youtube.com/channel/UC0ZijN5zNGK6woGU5SfoqRQ,منوعات مبتكرة,https://yt3.ggpht.com/bxGaN_Ne6M3af3zJtjFWUr_Vi7yerNdAXUbGcwPLXaeqQwunoIqjg2QuEJRqFleaaOqJvZnbMw=s88-c-k-c0x00ffffff-no-rj,0,0,400,250,"25-34 : 23.9%
18-24 : 14.8%
55-64 : 17.0%
35-44 : 18.2%
65+ : 9.1%
45-54 : 17.0%","Female : 8.0%
Male : 92.0%"
https://www.youtube.com/channel/UC0aRDL9lZVG1sklT1We0OlQ,•Officially Iko•,https://yt3.ggpht.com/TeazeLJT4348lcK2Gb3brqiuybbdwTEel1NaljJCYSC9CYXbVGnQa-ABMQ_tqyPvyyiNPStRNw=s88-c-k-c0x00ffffff-no-rj,1,0,100,100,,
https://www.youtube.com/channel/UC0al0JkR6Q7KMtPbWf3OW-A,همسات اردنية,https://yt3.ggpht.com/24tbUXVp5r0PL8FEKlZZ3gjcEQlv1YPQpApgFW3upYGaPMZNn3FWA8kFGSoVx6gZprPDfB_O2g=s88-c-k-c0x00ffffff-no-rj,15,0,150,100,,
https://www.youtube.com/channel/UC0cCrdhy-tkyqacV-3O9FKg,حنان سرحان hanan sarhan,https://yt3.ggpht.com/QK-CvzFBTKUfpTwM4DWcTUlyoCnHFsUQfhKe5JDRhaONIkWtvrMwACithgyNFTfTDkenKvc=s88-c-k-c0x00ffffff-no-rj,5,0,100,100,,
https://www.youtube.com/channel/UC0iOj9jqaHPMSvspiswzoDw,Roplex Gaming,https://yt3.ggpht.com/ytc/AKedOLQrAHvszGT8UaGjJ41HvPiqX2R9xvk_sNVT76B-tw=s88-c-k-c0x00ffffff-no-rj,33,0,1000,250,,
https://www.youtube.com/channel/UC0mNu1pdxfeo5bsdC3DgyBQ,Mahmoud Rabie محمود ربيع,https://yt3.ggpht.com/MlOATQEWT-UwQygj5g2jOWfwYdCm0NiWcFNbKDMIu5qvJBpKhbAbjVFZsXiN64AYDLopTYTrNlg=s88-c-k-c0x00ffffff-no-rj,33,0,1000,250,,
https://www.youtube.com/channel/UC0p6Cb4vc1rPfRNvq0sz5EA,طارق النجار,https://yt3.ggpht.com/ytc/AKedOLTRqcwVFYPxSAtxHjs_SwEnyqamf-bdNHBKAbiI=s88-c-k-c0x00ffffff-no-rj,2,0,150,150,,
https://www.youtube.com/channel/UC0qlUP4wQ7dHGtvSOWkiQkQ,كوني ملكه مع جنى,https://yt3.ggpht.com/ytc/AKedOLQboj3a48o3yHfHw0C3G-RS8el8w65Q6LUkDYdv=s88-c-k-c0x00ffffff-no-rj,0,0,1000,150,"25-34 : 19.2%
18-24 : 20.3%
Unknown : 6.1%
55-64 : 15.4%
35-44 : 15.8%
65+ : 10.5%
45-54 : 12.8%","Female : 51.5%
Male : 48.5%"
https://www.youtube.com/channel/UC0rzsIrAxF4kCsALP6J2EsA,Raditya Dika,https://yt3.ggpht.com/ytc/AKedOLT7JC5RDbM6fpmXQdzWjElPjzRM9GJeDaeEj5UlCQ=s88-c-k-c0x00ffffff-no-rj,5,0,100,100,,
https://www.youtube.com/channel/UC0wZCfc_MrZfhGdBipaArXw,حسوني للشروحات Hassouni explanations,https://yt3.ggpht.com/0WZTAlcrS8soyYGn4iLVKdRXKGQrsrDOHyFLaCiRzq5i2qvnlIvuMrZ3GhDK-3r2d4yu2-VHCw=s88-c-k-c0x00ffffff-no-rj,2,0,100,100,,
https://www.youtube.com/channel/UC104BJK07sSedxf6Q3J7Nyw,كُن مثقف,https://yt3.ggpht.com/fRLVzzvsouawS8w4ZyrjjsaCkM-cnrzd6f-b2QODblRuVoISa6mNE-Fn0tpn94W5NEGZe8XY=s88-c-k-c0x00ffffff-no-rj,1,0,100,100,,
https://www.youtube.com/channel/UC10Sbvb1v8SxkilsKjUfbCA,Al-Hussein Poultry- الحسين للدواجن,https://yt3.ggpht.com/UXbvVZVPFEQQRB0LEL40qEq6xaNJZqAr_uHHc6XhI4Ueto2ak49sfigSef9JIub0HJVrC361GMI=s88-c-k-c0x00ffffff-no-rj,100,0,1000,400,,
